

2020-03-01 09:20:45.557757|14.199999809265137=

2020-03-01 09:21:21.207073|14.199999809265137=

2020-03-01 09:22:21.235365|14.199999809265137=

2020-03-01 09:26:08.571310|13.800000190734863=

2020-03-01 09:31:11.900088|13.800000190734863=

2020-03-01 09:36:15.460006|12.199999809265137=

2020-03-01 09:41:19.362717|11.699999809265137=

2020-03-01 09:46:23.229222|11.399999618530273=

2020-03-01 09:51:26.785546|11.399999618530273=

2020-03-01 09:56:30.480083|11.600000381469727=

2020-03-01 10:01:33.929805|11.699999809265137=

2020-03-01 10:06:37.486193|11.800000190734863=

2020-03-01 10:11:40.888564|11.800000190734863=

2020-03-01 10:16:44.489585|11.899999618530273=

2020-03-01 10:21:47.971376|12.0=

2020-03-01 10:26:52.121123|12.399999618530273=

2020-03-01 10:31:55.928502|14.100000381469727=

2020-03-01 10:36:59.881691|14.699999809265137=

2020-03-01 10:42:03.717956|13.199999809265137=

2020-03-01 10:47:07.507452|12.5=

2020-03-01 10:52:11.188276|12.100000381469727=

2020-03-01 10:57:14.725658|11.899999618530273=

2020-03-01 11:02:18.505211|11.899999618530273=
